intern_role,company_name,hiring_type,location,job_offer(LPA),stipend_per_month,duration(months),posted_time,early_applicant,apply_links
Video Editing/Making,Cocoma Digital Private Limited,Actively hiring,Mumbai,,10000.0,6,2 days ago,,https://internshala.com/internship/detail/video-editing-making-internship-in-mumbai-at-cocoma-digital-private-limited1751430481
Content and Social Media Marketing,Cocoma Digital Private Limited,Actively hiring,Mumbai,,10000.0,6,2 days ago,,https://internshala.com/internship/detail/content-and-social-media-marketing-internship-in-mumbai-at-cocoma-digital-private-limited1751430677
Sales Development Representative,Joveo,Actively hiring,Bangalore,,25000.0,3,2 days ago,,https://internshala.com/internship/detail/sdr-internship-in-bangalore-at-joveo1751373154
Business Consultant,Break The Code,Actively hiring,"Dombivli,Mumbai,Virar,MiraBhayandar,NalaSopara,Dahisar",,5000.0,3,3 days ago,,https://internshala.com/internship/detail/business-consultant-internship-in-multiple-locations-at-break-the-code1751348280
Business Outreach Coordinator,Ace 360,Actively hiring,Mumbai,,10000.0,6,3 days ago,,https://internshala.com/internship/detail/business-outreach-coordinator-internship-in-mumbai-at-ace-3601751360563
Business Development (Sales),Break The Code,Actively hiring,"Thane,Dombivli,Kalyan,Mumbai,Virar,MiraBhayandar,NalaSopara,Dahisar,SionKoliwada,Vasai-Virar,Kurla,Bandra",,5000.0,3,3 days ago,,https://internshala.com/internship/detail/business-development-sales-internship-in-multiple-locations-at-break-the-code1751347856
Business Consultant,Medius Technologies Private Limited,Actively hiring,"Thane,NaviMumbai,Mumbai",,10000.0,6,2 days ago,,https://internshala.com/internship/detail/business-consultant-internship-in-multiple-locations-at-medius-technologies-private-limited1751372080
Digital Marketing,Scalar Tech Media Private Limited,Actively hiring,Mumbai,,12000.0,3,2 days ago,,https://internshala.com/internship/detail/digital-marketing-internship-in-mumbai-at-scalar-tech-media-private-limited1751446941
Corporate Sales,Break The Code,Actively hiring,"MiraBhayandar,Mumbai,Vasai-Virar,Bandra",,7000.0,3,3 days ago,Be an early applicant,https://internshala.com/internship/detail/corporate-sales-internship-in-multiple-locations-at-break-the-code1751349180
Cataloging,ODN Digital Services Private Limited,Actively hiring,Delhi,,10000.0,3,Few hours ago,,https://internshala.com/internship/detail/cataloging-internship-in-delhi-at-odn-digital-services-private-limited1751603971
Business Development (Sales),Scalar Tech Media Private Limited,Actively hiring,Mumbai,,12000.0,3,3 days ago,,https://internshala.com/internship/detail/business-development-sales-internship-in-mumbai-at-scalar-tech-media-private-limited1751357698
Real Estate Sales,BNM Business Solutions LLP,Actively hiring,"Pune,NaviMumbai,Bangalore,Indore",,18000.0,3,1 day ago,,https://internshala.com/internship/detail/real-estate-sales-internship-in-multiple-locations-at-bnm-business-solutions-llp1751517557
Operations,Supplybox,Actively hiring,Mumbai,,18000.0,,2 days ago,,https://internshala.com/internship/detail/operations-internship-in-mumbai-at-supplybox1751431021
UX/UI Design,Brandshark,Actively hiring,Bangalore,,10000.0,3,3 days ago,,https://internshala.com/internship/detail/ux-ui-design-internship-in-bangalore-at-brandshark1751358258
Talent Acquisition,Grexa AI Private Limited,Actively hiring,"NaviMumbai,Mumbai",,10000.0,6,3 days ago,Be an early applicant,https://internshala.com/internship/detail/talent-acquisition-internship-in-multiple-locations-at-grexa-ai-private-limited1751356046
Script Writer,Tring,Actively hiring,"Thane,NaviMumbai,Mumbai,Panvel",,15000.0,3,3 days ago,,https://internshala.com/internship/detail/script-writer-internship-in-multiple-locations-at-tring1751347626
Graphic Design,Messe Muenchen India Private Limited,Actively hiring,Mumbai,,50000.0,3,7 days ago,,https://internshala.com/internship/detail/graphic-design-internship-in-mumbai-at-messe-muenchen-india-private-limited1750938194
Business Development (Sales),Lime Learn Eduserv Private Limited,Actively hiring,Pune,,15000.0,2,2 days ago,,https://internshala.com/internship/detail/part-time-business-development-sales-internship-in-pune-at-lime-learn-eduserv-private-limited1751369076
Telecalling,Lime Learn Eduserv Private Limited,Actively hiring,Pune,,15000.0,2,3 days ago,,https://internshala.com/internship/detail/part-time-telecalling-internship-in-pune-at-lime-learn-eduserv-private-limited1751357218
Founders Office,Simit Bhagat Studios,Actively hiring,Mumbai,₹ 4,10000.0,3,2 days ago,Be an early applicant,https://internshala.com/internship/detail/founders-office-internship-in-mumbai-at-simit-bhagat-studios1751446894
Social Media Content Writing,Ecultify Advertising LLP,Actively hiring,Mumbai,,20000.0,3,1 week ago,,https://internshala.com/internship/detail/social-media-content-writing-internship-in-mumbai-at-ecultify-advertising-llp1750834500
Social Media Marketing,Bizup,Actively hiring,Surat,,16000.0,3,3 days ago,,https://internshala.com/internship/detail/social-media-marketing-internship-in-delhi-at-bizup1751361155
Care Operations,StrideRX,Actively hiring,Delhi,,15000.0,6,1 day ago,,https://internshala.com/internship/detail/care-operations-internship-in-delhi-at-striderx1751517347
Project Management,FynTune Solution Private Limited,Actively hiring,"Thane,NaviMumbai,Vashi,Belapur,Mumbai,Turbhe,Panvel",,18000.0,6,3 days ago,,https://internshala.com/internship/detail/project-management-internship-in-multiple-locations-at-fyntune-solution-private-limited1751361531
Digital Marketing,72Cubes,Actively hiring,Rajkot,,6000.0,6,1 week ago,Be an early applicant,https://internshala.com/internship/detail/digital-marketing-internship-in-rajkot-at-72cubes1750652589
Law/Legal,Ibus Networks And Infrastructure Pvt. Ltd,Actively hiring,Bangalore,,15000.0,3,6 days ago,,https://internshala.com/internship/detail/law-legal-internship-in-bangalore-at-ibus-networks-and-infrastructure-pvt-ltd1751026057
Database Building/Management,Medius Technologies Private Limited,Actively hiring,"Thane,NaviMumbai,Mumbai",,10000.0,6,2 days ago,,https://internshala.com/internship/detail/database-building-management-internship-in-multiple-locations-at-medius-technologies-private-limited1751371914
Data Entry,Medius Technologies Private Limited,Actively hiring,"Thane,NaviMumbai,Mumbai",,10000.0,6,2 days ago,,https://internshala.com/internship/detail/data-entry-internship-in-multiple-locations-at-medius-technologies-private-limited1751371605
Architecture,"Knowledge Center, Gurgaon",Actively hiring,Gurgaon,,25000.0,6,6 days ago,Be an early applicant,https://internshala.com/internship/detail/architecture-internship-in-gurgaon-at-knowledge-center-gurgaon1751092897
Customer Success Ops,Faclon,Actively hiring,Mumbai,,10000.0,3,4 days ago,Be an early applicant,https://internshala.com/internship/detail/customer-success-ops-internship-in-mumbai-at-faclon1751267518
Sales and Marketing,I2global School,Actively hiring,Chennai,,15000.0,3,4 days ago,Be an early applicant,https://internshala.com/internship/detail/sales-and-marketing-internship-in-chennai-at-i2global-school1751269299
Personal Assistant - Founders Office,Olixir Gourmet Oil,Actively hiring,Ahmedabad,,10000.0,6,7 days ago,Be an early applicant,https://internshala.com/internship/detail/personal-assistant-founders-office-internship-in-ahmedabad-at-olixir-gourmet-oil1751009429
Video Editing/Making,NextBigE,Actively hiring,Noida,₹ 6,25000.0,4,1 day ago,,https://internshala.com/internship/detail/video-editing-making-internship-in-noida-at-nextbige1751535089
Sales and Marketing,Amaya Decors,Actively hiring,Moradabad,,9000.0,3,1 week ago,Be an early applicant,https://internshala.com/internship/detail/sales-and-marketing-internship-in-moradabad-at-amaya-decors1750659399
Hindi & Marathi Photo Collection Project,Solvitude,Actively hiring,Workfromhome,,12000.0,,Few hours ago,,https://internshala.com/internship/detail/work-from-home-part-time-hindi-marathi-photo-collection-project-internship-at-solvitude1751604318
Growth (School Partnerships),Edjuvenate Learnings Private Limited,Actively hiring,"Faridabad,Delhi,Mumbai,Noida",,60000.0,2,Today,,https://internshala.com/internship/detail/growth-school-partnerships-internship-in-multiple-locations-at-edjuvenate-learnings-private-limited1751543855
Inside Sales,Lime Learn Eduserv Private Limited,Actively hiring,Pune,,15000.0,2,3 days ago,,https://internshala.com/internship/detail/part-time-inside-sales-internship-in-pune-at-lime-learn-eduserv-private-limited1751290796
Law/Legal,Kridey Foundation,Actively hiring,Workfromhome,,,,3 days ago,,https://internshala.com/internship/detail/work-from-home-law-legal-internship-at-kridey-foundation1751361425
Video Editing,The Email Mafia,Actively hiring,Workfromhome,₹ 8,30000.0,3,Few hours ago,,https://internshala.com/internship/detail/work-from-home-video-editing-internship-at-the-email-mafia1751606951
Business Development,Clean Water Solutions,Actively hiring,Indore,,12000.0,6,6 days ago,,https://internshala.com/internship/detail/business-development-internship-in-indore-at-clean-water-solutions1751028399
Video Editing/Making,Skil.ai,Actively hiring,Visakhapatnam,,10000.0,3,1 week ago,Be an early applicant,https://internshala.com/internship/detail/video-editing-making-internship-in-visakhapatnam-at-skilai1750662394
Travel Consultant,Bhagyashri Holidays,Actively hiring,Pune,,13000.0,6,3 weeks ago,,https://internshala.com/internship/detail/travel-consultant-internship-in-pune-at-bhagyashri-holidays1749455051
Lead Generation,Heterize Infotech Private Limited,Actively hiring,Indore,,7000.0,4,7 days ago,Be an early applicant,https://internshala.com/internship/detail/lead-generation-internship-in-indore-at-heterize-infotech-private-limited1751012777
Teaching & Classroom Management,Sarvam Foundation,Actively hiring,"Delhi,Gurgaon",,6000.0,3,2 days ago,Be an early applicant,https://internshala.com/internship/detail/part-time-teaching-classroom-management-internship-in-multiple-locations-at-sarvam-foundation1751430312
Sales,BNM Business Solutions LLP,Actively hiring,"Pune,NaviMumbai,Bangalore,Indore",,18000.0,3,1 day ago,,https://internshala.com/internship/detail/sales-internship-in-multiple-locations-at-bnm-business-solutions-llp1751517604
Sales Development Representative - Lead Generation,INI8 Labs Private Limited,Actively hiring,Workfromhome,,15000.0,3,Few hours ago,,https://internshala.com/internship/detail/work-from-home-sales-development-representative-lead-generation-internship-at-ini8-labs-private-limited1751603858
Law/Legal,Gun Rajan Constructions,Actively hiring,Mumbai,,5500.0,3,1 week ago,,https://internshala.com/internship/detail/law-legal-internship-in-mumbai-at-gun-rajan-constructions1750845056
Business Development (Sales),We-Care.Club,Actively hiring,Bangalore,₹ 6,40000.0,3,4 days ago,,https://internshala.com/internship/detail/business-development-sales-internship-in-bangalore-at-we-careclub1751275209
Content Development,Fiaxe,Actively hiring,Mumbai,,5001.0,6,3 days ago,,https://internshala.com/internship/detail/content-development-internship-in-mumbai-at-fiaxe1751282947
E-Commerce Operations,Heterize Infotech Private Limited,Actively hiring,Indore,,7000.0,3,7 days ago,,https://internshala.com/internship/detail/part-time-e-commerce-operations-internship-in-indore-at-heterize-infotech-private-limited1751012685
Company Secretary (CS),Fantasy Flora Events Private Limited,Actively hiring,Hyderabad,,6000.0,,6 days ago,Be an early applicant,https://internshala.com/internship/detail/part-time-company-secretary-cs-internship-in-hyderabad-at-fantasy-flora-events-private-limited1751027130
Business Development (Inside Sales/Field Sales),Heterize Infotech Private Limited,Actively hiring,Indore,₹ 7,7000.0,3,7 days ago,Be an early applicant,https://internshala.com/internship/detail/part-time-business-development-inside-sales-field-sales-internship-in-indore-at-heterize-infotech-private-limited1751018022
Inside Sales,Heterize Infotech Private Limited,Actively hiring,Indore,₹ 7,7000.0,3,7 days ago,,https://internshala.com/internship/detail/part-time-inside-sales-internship-in-indore-at-heterize-infotech-private-limited1751017963
Business Development (Sales),AIRONIC ARTIFICIAL INTELLIGENCE PRIVATE LIMITED,Actively hiring,"Delhi,Gurgaon,Noida",,35000.0,3,Today,,https://internshala.com/internship/detail/business-development-sales-internship-in-multiple-locations-at-aironic-artificial-intelligence-private-limited1751564333
LinkedIn Marketing,CEG STAKE,Actively hiring,Workfromhome,,10000.0,3,Few hours ago,,https://internshala.com/internship/detail/work-from-home-linkedin-marketing-internship-at-ceg-stake1751606868
Wix Website Developer (No Code) Wix Studio,Madquick Digital Agency,Actively hiring,Workfromhome,,6000.0,3,Few hours ago,,https://internshala.com/internship/detail/work-from-home-part-time-wix-website-developer-no-code-wix-studio-internship-at-madquick-digital-agency1751615809
Field Sales,VOHRA AUTO DISTRIBUTORS Private Limited,Actively hiring,Pune,₹ 2.4,9500.0,6,3 days ago,Be an early applicant,https://internshala.com/internship/detail/field-sales-internship-in-pune-at-vohra-auto-distributors-private-limited1751358065
Travel & Tourism,Vana Safaris Private Limited,Actively hiring,Delhi,,15000.0,4,2 days ago,,https://internshala.com/internship/detail/travel-tourism-internship-in-delhi-at-vana-safaris-private-limited1751438493
Digital Marketing,Eduminatti,Actively hiring,Dehradun,,2100.0,2,1 week ago,,https://internshala.com/internship/detail/digital-marketing-internship-in-dehradun-at-eduminatti1750814788
Training Coordinator,Mind Appraisers,Actively hiring,Hyderabad,,10000.0,2,4 days ago,,https://internshala.com/internship/detail/training-coordinator-internship-in-hyderabad-at-mind-appraisers1751264057
Search Engine Optimization (SEO),99isolutions,Actively hiring,Jaipur,,7000.0,3,2 weeks ago,,https://internshala.com/internship/detail/search-engine-optimization-seo-internship-in-jaipur-at-99isolutions1750403849
Demand Generation & Marketing,ClearTax,Actively hiring,Bangalore,,25000.0,6,4 days ago,,https://internshala.com/internship/detail/demand-generation-marketing-internship-in-bangalore-at-cleartax1751261795
Social Media Manager,The Email Mafia,Actively hiring,Workfromhome,₹ 8,50000.0,3,Few hours ago,,https://internshala.com/internship/detail/work-from-home-social-media-manager-internship-at-the-email-mafia1751606986
Fundraising,Muskurahat Foundation,Actively hiring,Workfromhome,,10000.0,,Few hours ago,,https://internshala.com/internship/detail/work-from-home-part-time-fundraising-internship-at-muskurahat-foundation1751605502
