,intern_role,company_name,hiring_type,location,job_offer(LPA),stipend_per_month,duration(months),posted_time,early_applicant,apply_links
119,SCM Engineering,Planys Technologies Private Limited,Actively hiring,Chennai,,"12,500 - 15,000",6,Few hours ago,,https://internshala.com/internship/detail/scm-engineering-internship-in-chennai-at-planys-technologies-private-limited1750659707
120,Sales and Marketing,BHARATPI LABS PRIVATE LIMITED,Actively hiring,Bangalore,,"20,000 - 25,000",6,Today,,https://internshala.com/internship/detail/sales-and-marketing-internship-in-bangalore-at-bharatpi-labs-private-limited1750653551
121,Business Development (Sales),FinWin India Consulting,Actively hiring,"Gurgaon,Jalandhar,Ludhiana,Chandigarh,Delhi,Noida",₹ 2.4,"5,000 - 10,000",6,Today,,https://internshala.com/internship/detail/business-development-sales-internship-in-multiple-locations-at-finwin-india-consulting1750654352
122,Creative Coordination (Pratibimb),R R Unitrade,Actively hiring,Raipur,,"6,000 - 13,000",,Today,,https://internshala.com/internship/detail/part-time-creative-coordination-pratibimb-internship-in-raipur-at-r-r-unitrade1750655857
123,Customer Success Operations,Faclon,Actively hiring,Mumbai,,"7,000 - 10,000",3,3 days ago,,https://internshala.com/internship/detail/customer-success-operations-internship-in-mumbai-at-faclon1750393829
124,Law/Legal,Movi Ecoserve Private Limited,Actively hiring,Delhi,,"5,000 - 7,000",6,6 days ago,,https://internshala.com/internship/detail/law-legal-internship-in-delhi-at-movi-ecoserve-private-limited1750134184
125,Search Engine Optimization (SEO),Indogenmed Healthacare Private Ltd.,Actively hiring,Jaipur,,"5,000 - 10,000",3,6 days ago,,https://internshala.com/internship/detail/search-engine-optimization-seo-internship-in-jaipur-at-indogenmed-healthacare-private-ltd1750163835
126,Graphic Design,CyberFrat,Actively hiring,Mumbai,,"7,000 - 10,000",4,3 days ago,,https://internshala.com/internship/detail/graphic-design-internship-in-mumbai-at-cyberfrat1750398116
127,Finance & Accounting,Intugine Technologies Private Limited,Actively hiring,Koramangala,,"10,000 - 12,000",6,Today,,https://internshala.com/internship/detail/finance-accounting-internship-in-koramangala-at-intugine-technologies-private-limited1750657219
128,Marketing and Sales,Reliance Nippon Life Insurance,Actively hiring,"Hyderabad,Kolkata",₹ 3.6,"2,000 - 8,000",2,Few hours ago,,https://internshala.com/internship/detail/marketing-and-sales-internship-in-multiple-locations-at-reliance-nippon-life-insurance1750677677
129,Video Editing/Making,GlassMate Media,Actively hiring,Mumbai,,"8,000 - 10,000",3,3 days ago,Be an early applicant,https://internshala.com/internship/detail/video-editing-making-internship-in-mumbai-at-glassmate-media1750419809
130,Content Writing,EMIAC,Actively hiring,Jaipur,,"5,000 - 8,000",4,1 week ago,,https://internshala.com/internship/detail/content-writing-internship-in-jaipur-at-emiac1749648956
131,Telecalling,Bansal Classes Pvt. Ltd. Uttarakhand,Actively hiring,Dehradun,₹ 2.5,"5,800 - 9,000",3,3 weeks ago,Be an early applicant,https://internshala.com/internship/detail/telecalling-internship-in-dehradun-at-bansal-classes-pvt-ltd-uttarakhand1748496056
132,Search Engine Optimization (SEO),D2S Technologies,Actively hiring,Delhi,,"7,000 - 8,500",6,Few hours ago,,https://internshala.com/internship/detail/search-engine-optimization-seo-internship-in-delhi-at-d2s-technologies1750672801
133,Digital Marketing,Tacheon,Actively hiring,Chennai,₹ 3.6,"8,000 - 12,000",3,3 days ago,,https://internshala.com/internship/detail/digital-marketing-internship-in-chennai-at-tacheon1750405722
134,Sales,BNM Business Solutions LLP,Actively hiring,Vadodara,₹ 1,,2,2 weeks ago,,https://internshala.com/internship/detail/sales-internship-in-vadodara-at-bnm-business-solutions-llp1749128687
135,WordPress Development,Zero Dimensions,Actively hiring,Ahmedabad,,"6,000 - 8,000",6,3 days ago,,https://internshala.com/internship/detail/wordpress-development-internship-in-ahmedabad-at-zero-dimensions1750393502
136,Architecture,Parabola Architects,Actively hiring,"Pune,Mumbai,Maharashtra,Punjab",,"7,000 - 13,000",4,4 days ago,Be an early applicant,https://internshala.com/internship/detail/architecture-internship-in-multiple-locations-at-parabola-architects1750328728
137,Sports Content Writer,Trade Brains,Actively hiring,Bangalore,,"8,000 - 10,000",3,Today,,https://internshala.com/internship/detail/sports-content-writer-internship-in-bangalore-at-trade-brains1750655332
138,Video Editing,MastersHelp,Actively hiring,Hyderabad,,"9,100 - 10,500",2,3 days ago,,https://internshala.com/internship/detail/video-editing-internship-in-hyderabad-at-mastershelp1750415794
139,Content Creation,The Trading Fox,Actively hiring,Jaipur,₹ 3,"7,000 - 10,000",2,6 days ago,,https://internshala.com/internship/detail/content-creation-internship-in-jaipur-at-the-trading-fox1750136656
140,Business Development (Sales),Jayant Kelkar,Actively hiring,Pune,,"7,000 - 13,000",6,2 days ago,,https://internshala.com/internship/detail/business-development-sales-internship-in-pune-at-jayant-kelkar1750490463
141,Fashion Design And Merchandising,People Genix Private Limited,Actively hiring,Gurgaon,₹ 2,,2,Today,Be an early applicant,https://internshala.com/internship/detail/fashion-design-and-merchandising-internship-in-gurgaon-at-people-genix-private-limited1750655433
142,Administration,Polymechplast Machines Ltd (PML),Actively hiring,Vadodara,,"6,000 - 12,000",6,3 weeks ago,,https://internshala.com/internship/detail/administration-internship-in-vadodara-at-polymechplast-machines-ltd-pml1748250497
143,Architecture,Construma.co.in,Actively hiring,Mumbai,,"5,000 - 6,000",3,3 weeks ago,Be an early applicant,https://internshala.com/internship/detail/architecture-internship-in-mumbai-at-construmacoin1748503297
144,Campus Ambassador,Parivestra,Actively hiring,Thiruvananthapuram,,,3,2 weeks ago,Be an early applicant,https://internshala.com/internship/detail/campus-ambassador-programme-at-parivestra1749468848
145,Search Engine Optimization (SEO),Grexa AI Private Limited,Actively hiring,"NaviMumbai,Mumbai",₹ 8,"10,000 - 15,000",3,3 days ago,,https://internshala.com/internship/detail/search-engine-optimization-seo-internship-in-multiple-locations-at-grexa-ai-private-limited1750406008
146,Business Development (Sales),Rex Fuels,Actively hiring,Mumbai,,"15,000 - 45,000",6,3 days ago,,https://internshala.com/internship/detail/business-development-sales-internship-in-mumbai-at-rex-fuels1750413171
147,Sales and Marketing,Kunsh Cosmetics,Actively hiring,Bangalore,,"12,000 - 30,000",6,3 days ago,,https://internshala.com/internship/detail/sales-and-marketing-internship-in-bangalore-at-kunsh-cosmetics1750413025
148,E-Commerce Merchandising,Aashni + Co,Actively hiring,Mumbai,,,6,3 days ago,,https://internshala.com/internship/detail/e-commerce-merchandising-internship-in-mumbai-at-aashni-co1750406754
149,Talent Acquisition,Grexa AI Private Limited,Actively hiring,"NaviMumbai,Mumbai",,"10,000 - 15,000",3,3 days ago,,https://internshala.com/internship/detail/talent-acquisition-internship-in-multiple-locations-at-grexa-ai-private-limited1750405711
150,"Creative Content Creation – Photos, Reels & Ideas",Holidaysbox,Actively hiring,"Thane,Mumbai",,"7,000 - 15,000",3,2 days ago,,https://internshala.com/internship/detail/creative-content-creation--photos-reels-ideas-internship-in-multiple-locations-at-holidaysbox1750505723
151,Graphic Design,Thirumathi Herbal & Natural Products,Actively hiring,Bangalore,,"12,000 - 16,000",3,3 days ago,,https://internshala.com/internship/detail/graphic-design-internship-in-bangalore-at-thirumathi-herbal-natural-products1750418055
152,Human Resources (HR),Precision Metallurgy India Private Limited,Actively hiring,Ludhiana,,"8,000 - 10,000",2,1 week ago,,https://internshala.com/internship/detail/human-resources-hr-internship-in-ludhiana-at-precision-metallurgy-india-private-limited1749712408
153,Marketing,Nutrivative Foods Private Limited,Actively hiring,Hyderabad,,"10,000 - 15,000",2,3 days ago,,https://internshala.com/internship/detail/marketing-internship-in-hyderabad-at-nutrivative-foods-private-limited1750418794
154,Sales and Marketing,Crafted By JOD,Actively hiring,Ahmedabad,,"3,000 - 7,000",6,1 week ago,Be an early applicant,https://internshala.com/internship/detail/sales-and-marketing-internship-in-ahmedabad-at-crafted-by-jod1749545180
155,CS Articleship,"Rachana Maru Furia & Associates, Company Secretaries",Actively hiring,Mumbai,,"10,000 - 15,000",24,1 week ago,Be an early applicant,https://internshala.com/internship/detail/cs-articleship-internship-in-mumbai-at-rachana-maru-furia-associates-company-secretaries1749711591
156,Campus Ambassador,Parivestra,Actively hiring,Vijayawada,,,3,2 weeks ago,Be an early applicant,https://internshala.com/internship/detail/campus-ambassador-programme-at-parivestra1749468867
157,Telesales_Male,Kayakalp Enterprise,Actively hiring,Noida,,"8,000 - 12,000",3,4 days ago,,https://internshala.com/internship/detail/telesalesmale-internship-in-noida-at-kayakalp-enterprise1750326804
158,Digital Marketing,Regur Technology Solutions,Actively hiring,Ahmedabad,,"5,000 - 7,000",6,1 week ago,,https://internshala.com/internship/detail/digital-marketing-internship-in-ahmedabad-at-regur-technology-solutions1749544826
159,Business Development (Sales),Ascent Foundation,Actively hiring,"Thane,NaviMumbai,Mumbai",,"9,000 - 12,000",6,4 days ago,,https://internshala.com/internship/detail/business-development-sales-internship-in-multiple-locations-at-ascent-foundation1750327152
160,Administration,Ascent Foundation,Actively hiring,"Thane,NaviMumbai,Mumbai",,"7,000 - 12,000",6,4 days ago,,https://internshala.com/internship/detail/administration-internship-in-multiple-locations-at-ascent-foundation1750314232
161,Human Resource Operations,Get Structured Consulting Services OPC Private Limited,Actively hiring,Thane,,"7,000 - 8,000",3,Today,,https://internshala.com/internship/detail/human-resource-operations-internship-in-mumbai-at-get-structured-consulting-services-opc-private-limited1750654310
162,E-Commerce Sales,Amson Interconnect Private Limited,Actively hiring,Delhi,,"8,000 - 10,000",6,Few hours ago,,https://internshala.com/internship/detail/e-commerce-sales-internship-in-delhi-at-amson-interconnect-private-limited1750665849
163,Business Development (Sales),Adhivaha Private Limited,Actively hiring,Kolkata,,"5,001 - 10,000",3,7 days ago,,https://internshala.com/internship/detail/business-development-sales-internship-in-kolkata-at-adhivaha-private-limited1750076560
164,Corporate Sales,Scalar Tech Media Private Limited,Actively hiring,Mumbai,,"8,000 - 12,000",3,4 days ago,,https://internshala.com/internship/detail/corporate-sales-internship-in-mumbai-at-scalar-tech-media-private-limited1750334168
165,Film Production,Lateral Works Studio,Actively hiring,Vasai-Virar,₹ 3,"8,000 - 10,000",6,4 days ago,,https://internshala.com/internship/detail/film-production-internship-in-vasai-virar-at-lateral-works-studio1750336638
166,Subject Matter Expert (SME),Gaurav Tiwari,Actively hiring,Kanpur,,"12,000 - 20,000",3,2 weeks ago,,https://internshala.com/internship/detail/subject-matter-expert-sme-internship-in-kanpur-at-gaurav-tiwari1749194033
167,Campus Ambassador,Parivestra,Actively hiring,Patna,,,3,2 weeks ago,Be an early applicant,https://internshala.com/internship/detail/campus-ambassador-programme-at-parivestra1749465067
168,Business Development (Sales),Brainstormm Kidskills Avenue,Actively hiring,"Pune,Pimpri-Chinchwad,Kolhapur,Solapur,GoaVelha",,"7,500 - 16,000",2,4 days ago,,https://internshala.com/internship/detail/business-development-sales-internship-in-multiple-locations-at-brainstormm-kidskills-avenue1750307744
169,Social Media Marketing,Eduminatti,Actively hiring,Dehradun,,"2,000 - 2,500",2,1 week ago,,https://internshala.com/internship/detail/social-media-marketing-internship-in-dehradun-at-eduminatti1749542264
170,R&D - New Product Development,Mosaic Wellness,Actively hiring,Thane,,"15,000 - 25,000",6,Today,,https://internshala.com/internship/detail/r-d-new-product-development-internship-in-thane-at-mosaic-wellness1750655114
171,Business Development,Rumi India,Actively hiring,Mumbai,,"6,000 - 10,000",6,4 days ago,,https://internshala.com/internship/detail/business-development-internship-in-mumbai-at-rumi-india1750334386
172,Business Development (Sales),Graps Marketing Pvt Ltd,Actively hiring,Bhopal,,"3,000 - 4,000",3,3 weeks ago,,https://internshala.com/internship/detail/business-development-sales-internship-in-bhopal-at-graps-marketing-pvt-ltd1748406429
173,E-Commerce Operations Manager & VA,Sustainable Incorporation Limited,Actively hiring,Pune,,"5,000 - 8,000",6,3 days ago,,https://internshala.com/internship/detail/part-time-e-commerce-operations-manager-va-internship-in-pune-at-sustainable-incorporation-limited1750414010
174,Digital Marketing,Right Health India,Actively hiring,Mumbai,₹ 6,"8,000 - 20,000",3,Few hours ago,,https://internshala.com/internship/detail/digital-marketing-internship-in-mumbai-at-right-health-india1750665357
175,CA Articleship,ELMPL,Actively hiring,Gurgaon,,"10,000 - 30,000",36,6 days ago,Be an early applicant,https://internshala.com/internship/detail/ca-articleship-internship-in-gurgaon-at-elmpl1750156510
176,Customer Service/Customer Support,Paudhewale.com,Actively hiring,Patna,,"4,500 - 5,000",3,2 weeks ago,,https://internshala.com/internship/detail/part-time-customer-service-customer-support-internship-in-patna-at-paudhewalecom1749100398
177,Video Editing/Making,CollegeTips Ed Tech Media Private Limited,Actively hiring,Bhopal,₹ 5,"2,000 - 10,000",,2 weeks ago,,https://internshala.com/internship/detail/video-editing-making-internship-in-bhopal-at-collegetips-ed-tech-media-private-limited1749129735
178,Marketing,CollegeTips Ed Tech Media Private Limited,Actively hiring,Bhopal,₹ 5,"2,000 - 10,000",,2 weeks ago,,https://internshala.com/internship/detail/marketing-internship-in-bhopal-at-collegetips-ed-tech-media-private-limited1749129685
179,Graphic Design,CollegeTips Ed Tech Media Private Limited,Actively hiring,Bhopal,₹ 5,"2,000 - 10,000",,2 weeks ago,,https://internshala.com/internship/detail/graphic-design-internship-in-bhopal-at-collegetips-ed-tech-media-private-limited1749129718
180,Operations,CollegeTips Ed Tech Media Private Limited,Actively hiring,Bhopal,₹ 5,"2,000 - 10,000",,2 weeks ago,,https://internshala.com/internship/detail/operations-internship-in-bhopal-at-collegetips-ed-tech-media-private-limited1749129660
181,Digital Marketing,CollegeTips Ed Tech Media Private Limited,Actively hiring,Bhopal,₹ 5,"2,000 - 10,000",,2 weeks ago,,https://internshala.com/internship/detail/digital-marketing-internship-in-bhopal-at-collegetips-ed-tech-media-private-limited1749129672
182,Content Writing,CollegeTips Ed Tech Media Private Limited,Actively hiring,Bhopal,₹ 5,"2,000 - 10,000",,2 weeks ago,,https://internshala.com/internship/detail/content-writing-internship-in-bhopal-at-collegetips-ed-tech-media-private-limited1749129698
183,Business Development (Sales),Green Palm - The Window Company,Actively hiring,"Jaipur,Kota",,"4,000 - 8,000",3,1 week ago,,https://internshala.com/internship/detail/business-development-sales-internship-in-multiple-locations-at-green-palm-the-window-company1749558975
184,Customer Service/Customer Support,Find Your Kicks India,Actively hiring,Ludhiana,,,2,3 weeks ago,,https://internshala.com/internship/detail/customer-service-customer-support-internship-in-ludhiana-at-find-your-kicks-india1748435155
185,Digital Marketing,Eduminatti,Actively hiring,Dehradun,,"2,000 - 2,100",2,2 weeks ago,,https://internshala.com/internship/detail/digital-marketing-internship-in-dehradun-at-eduminatti1749016148
186,Operations,Find Your Kicks India,Actively hiring,Ludhiana,,,3,3 weeks ago,,https://internshala.com/internship/detail/operations-internship-in-ludhiana-at-find-your-kicks-india1747913648
187,Video Editing/Making,YDigital,Actively hiring,Mumbai,,"3,000 - 15,000",6,6 days ago,,https://internshala.com/internship/detail/video-editing-making-internship-in-mumbai-at-ydigital1750134051
188,Campus Ambassador,Parivestra,Actively hiring,Jaipur,,,3,2 weeks ago,Be an early applicant,https://internshala.com/internship/detail/campus-ambassador-programme-at-parivestra1749464556
189,Business Development (Sales),Sanskriti Mishra,Actively hiring,"Pune,Wagholi",,"4,000 - 10,000",3,1 week ago,,https://internshala.com/internship/detail/business-development-sales-internship-in-multiple-locations-at-sanskriti-mishra1749823103
190,Human Resources (HR),CollegeTips Ed Tech Media Private Limited,Actively hiring,Bhopal,₹ 5,"2,000 - 10,000",,2 weeks ago,,https://internshala.com/internship/detail/human-resources-hr-internship-in-bhopal-at-collegetips-ed-tech-media-private-limited1749129435
191,Campus Ambassador,Parivestra,Actively hiring,Ahmedabad,,,3,2 weeks ago,Be an early applicant,https://internshala.com/internship/detail/campus-ambassador-programme-at-parivestra1749464573
192,Architecture,Myrrah Workplace,Actively hiring,Bangalore,,"6,000 - 7,000",3,3 weeks ago,Be an early applicant,https://internshala.com/internship/detail/architecture-internship-in-bangalore-at-myrrah-workplace1748840277
193,Business Development (Sales),Finzo Ventures Private Limited,Actively hiring,Ahmedabad,₹ 5,"10,000 - 15,000",2,1 week ago,,https://internshala.com/internship/detail/business-development-sales-internship-in-ahmedabad-at-finzo-ventures-private-limited1749555915
194,Fashion Design And Merchandising,Poonam Mohta,Actively hiring,Bangalore,₹ 3,"15,000 - 25,000",3,4 days ago,,https://internshala.com/internship/detail/fashion-design-and-merchandising-internship-in-bangalore-at-poonam-mohta1750319797
